,Unnamed: 0_level_0,press,press,press,press,press,press,temperature,temperature,temperature,temperature,temperature,Dew Point,RH,RH,RH,WS/WD,WS/WD,WS/WD,WS/WD,WS/WD,Precp,Precp,Precp,Precp,Precp,Precp,SunShine,SunShine,SunShine,visibility,Evaperation,UVI,UVI,Cloud
18,19,1013.0,1015.3,1014.6,2022-11-19 09:02,1011.3,2022-11-19 13:54,23.7,29.2,2022-11-19 13:18,20.9,2022-11-19 05:57,21.3,87,65,2022-11-19 13:19,1.5,20,7.5,40,2022-11-19 15:54,0.0,0.0,0.0,...,0.0,...,8.2,76.2,15.21,...,...,7,2022-11-19 13:00,...
19,20,1012.4,1014.7,1014.4,2022-11-20 08:53,1011.1,2022-11-20 14:07,23.9,27.6,2022-11-20 13:22,21.5,2022-11-20 00:36,20.9,84,70,2022-11-20 13:16,1.3,20,7.9,360,2022-11-20 11:04,0.0,0.0,0.0,...,0.0,...,3.1,28.8,9.95,...,...,6,2022-11-20 12:00,...
20,21,1012.7,1015.0,1014.7,2022-11-21 08:39,1010.5,2022-11-21 13:49,25.1,27.9,2022-11-21 11:13,23.2,2022-11-21 05:06,20.5,76,63,2022-11-21 13:35,1.7,140,8.8,150,2022-11-21 20:53,0.0,0.0,0.0,...,0.0,...,7.2,67.1,16.04,...,...,7,2022-11-21 13:00,...
21,22,1011.7,1014.0,1012.9,2022-11-22 00:18,1011.0,2022-11-22 14:44,24.8,28.1,2022-11-22 13:26,22.8,2022-11-22 22:23,22.3,86,73,2022-11-22 09:28,1.2,310,6.4,140,2022-11-22 08:40,T,0.1,T,2022-11-22 19:01,T,2022-11-22 19:01,1.2,11.2,10.45,...,...,4,2022-11-22 13:00,...
22,23,1014.2,1016.6,1016.4,2022-11-23 09:32,1011.4,2022-11-23 01:54,21.1,23.4,2022-11-23 00:44,19.8,2022-11-23 17:18,20.2,95,83,2022-11-23 15:20,1.8,20,9.3,360,2022-11-23 08:53,15.0,7.0,1.5,2022-11-23 04:59,4.5,2022-11-23 07:08,0.0,0.0,4.24,...,...,3,2022-11-23 12:00,...
23,24,1014.7,1017.1,1016.5,2022-11-24 23:47,1013.4,2022-11-24 02:33,20.5,21.1,2022-11-24 09:53,19.9,2022-11-24 00:01,20.4,100,99,2022-11-24 00:01,0.5,150,5.0,120,2022-11-24 22:16,69.5,10.6,3.0,2022-11-24 05:18,11.5,2022-11-24 20:44,0.0,0.0,2.56,...,...,2,2022-11-24 12:00,...
24,25,1013.2,1015.6,1016.3,2022-11-25 00:01,1010.4,2022-11-25 13:50,21.3,24.5,2022-11-25 11:31,19.7,2022-11-25 23:50,21.0,98,90,2022-11-25 11:24,1.5,140,7.7,160,2022-11-25 23:46,32.5,5.5,4.0,2022-11-25 21:29,9.5,2022-11-25 00:07,0.0,0.0,4.65,...,...,4,2022-11-25 12:00,...
25,26,1013.5,1015.9,1015.2,2022-11-26 09:12,1011.4,2022-11-26 00:54,20.8,23.8,2022-11-26 14:09,18.9,2022-11-26 22:04,19.5,92,75,2022-11-26 14:44,1.8,20,7.9,30,2022-11-26 14:33,1.0,1.1,0.5,2022-11-26 03:50,0.5,2022-11-26 03:50,1.8,16.9,8.64,...,...,5,2022-11-26 13:00,...
26,27,1011.5,1013.8,1013.3,2022-11-27 03:04,1008.5,2022-11-27 14:23,23.4,27.8,2022-11-27 14:47,20.0,2022-11-27 00:09,20.4,84,67,2022-11-27 12:12,1.6,150,13.5,160,2022-11-27 06:56,T,0.1,T,2022-11-27 11:24,T,2022-11-27 11:24,3.1,29.1,8.97,...,...,4,2022-11-27 13:00,...
27,28,1011.5,1013.9,1012.7,2022-11-28 20:41,1009.8,2022-11-28 15:03,23.9,28.6,2022-11-28 11:23,21.1,2022-11-28 06:11,21.8,89,68,2022-11-28 11:24,1.1,300,5.6,310,2022-11-28 12:37,0.0,0.0,0.0,...,0.0,...,9.2,86.4,15.02,...,...,6,2022-11-28 12:00,...
28,29,1012.0,1014.3,1014.5,2022-11-29 23:59,1009.6,2022-11-29 14:55,24.6,27.2,2022-11-29 14:13,22.9,2022-11-29 23:59,23.0,91,77,2022-11-29 10:03,1.6,20,7.4,40,2022-11-29 23:32,T,0.2,T,2022-11-29 21:27,T,2022-11-29 21:27,4.7,44.2,10.78,...,...,5,2022-11-29 12:00,...
29,30,1019.6,1022.0,1022.2,2022-11-30 09:50,1014.4,2022-11-30 00:01,18.4,23.0,2022-11-30 00:06,16.9,2022-11-30 20:09,16.7,90,81,2022-11-30 14:26,3.9,20,12.8,50,2022-11-30 02:49,1.5,3.7,0.5,2022-11-30 05:50,0.5,2022-11-30 05:50,0.5,4.7,6.6,...,...,4,2022-11-30 14:00,...
